OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
21193;A000431170;A463S;ALLIANZ SOCIETA' PER AZIONI
21194;A000431173;A044S;GENERALI ITALIA S.P.A.
21195;A000431173;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21196;A000431199;A077S;ZURICH INVESTMENTS LIFE S.P.A.
21197;A000431199;D866R;ZURICH INSURANCE EUROPE AG
21198;A000431199;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21199;A000431199;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
21200;A000431199;X497R;ZURICH INSURANCE COMPANY LTD
21201;A000431253;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21202;A000431256;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21203;A000431256;A077S;ZURICH INVESTMENTS LIFE S.P.A.
21204;A000431256;A339S;CNP VITA ASSICURA S.P.A.
21205;A000431256;A342S;UNISALUTE S.P.A.
21206;A000431256;A463S;ALLIANZ SOCIETA' PER AZIONI
21207;A000431256;A505S;UNIPOL ASSICURAZIONI S.P.A.
21208;A000431256;D866R;ZURICH INSURANCE EUROPE AG
21209;A000431256;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21210;A000431256;D957R;CHUBB EUROPEAN GROUP SE
21211;A000431256;X497R;ZURICH INSURANCE COMPANY LTD
21212;A000431257;D947R;AIG EUROPE S.A.
21213;A000431257;D962R;XL INSURANCE COMPANY SE
21214;A000431258;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
21215;A000431258;D912R;CGPA EUROPE S.A.
21216;A000431414;A055X;HDI ASSICURAZIONI S.P.A.
21217;A000431414;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21218;A000431414;A463S;ALLIANZ SOCIETA' PER AZIONI
21219;A000431434;A463S;ALLIANZ SOCIETA' PER AZIONI
21220;A000431434;D878R;ALLIANZ GLOBAL LIFE DAC
21221;A000431434;D891R;AWP P&C S.A.
21222;A000431434;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
21223;A000431460;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
21224;A000431460;A484S;TUTELA LEGALE S.P.A.
21225;A000431460;D952R;LLOYD'S INSURANCE COMPANY SA
21226;A000432619;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
21227;A000432619;A183S;ITAS VITA S.P.A.
21228;A000432656;A342S;UNISALUTE S.P.A.
21229;A000432656;A505S;UNIPOL ASSICURAZIONI S.P.A.
21230;A000432769;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
21231;A000432769;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21232;A000432769;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
21233;A000432769;A463S;ALLIANZ SOCIETA' PER AZIONI
21234;A000432769;A484S;TUTELA LEGALE S.P.A.
21235;A000432769;A505S;UNIPOL ASSICURAZIONI S.P.A.
21236;A000432769;D878R;ALLIANZ GLOBAL LIFE DAC
21237;A000432769;D891R;AWP P&C S.A.
21238;A000432859;A055X;HDI ASSICURAZIONI S.P.A.
21239;A000433075;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
21240;A000433075;A183S;ITAS VITA S.P.A.
21241;A000433228;A044S;GENERALI ITALIA S.P.A.
21242;A000433228;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21243;A000433228;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21244;A000433233;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21245;A000433243;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21246;A000433243;A463S;ALLIANZ SOCIETA' PER AZIONI
21247;A000433243;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
21248;A000433243;D878R;ALLIANZ GLOBAL LIFE DAC
21249;A000433243;D891R;AWP P&C S.A.
21250;A000433243;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
21251;A000433263;A342S;UNISALUTE S.P.A.
21252;A000433263;A505S;UNIPOL ASSICURAZIONI S.P.A.
21253;A000433269;A055X;HDI ASSICURAZIONI S.P.A.
21254;A000433269;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21255;A000433269;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21256;A000433390;A044S;GENERALI ITALIA S.P.A.
21257;A000433390;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21258;A000433397;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21259;A000433397;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
21260;A000433418;A044S;GENERALI ITALIA S.P.A.
