OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
3897;A000051840;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
3898;A000051846;A055X;HDI ASSICURAZIONI S.P.A.
3899;A000051846;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
3900;A000051846;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
3901;A000051846;D969R;ADRIATIC OSIGURANJE D.D.
3902;A000051846;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
3903;A000051850;A342S;UNISALUTE S.P.A.
3904;A000051850;A505S;UNIPOL ASSICURAZIONI S.P.A.
3905;A000051872;A055X;HDI ASSICURAZIONI S.P.A.
3906;A000051875;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
3907;A000051875;A463S;ALLIANZ SOCIETA' PER AZIONI
3908;A000051875;A505S;UNIPOL ASSICURAZIONI S.P.A.
3909;A000051875;D878R;ALLIANZ GLOBAL LIFE DAC
3910;A000051875;D891R;AWP P&C S.A.
3911;A000051875;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
3912;A000051886;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
3913;A000051886;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
3914;A000051893;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3915;A000051897;A037S;AXA ASSICURAZIONI S.P.A.
3916;A000051897;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
3917;A000051897;A463S;ALLIANZ SOCIETA' PER AZIONI
3918;A000051897;D878R;ALLIANZ GLOBAL LIFE DAC
3919;A000051897;D891R;AWP P&C S.A.
3920;A000051897;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
3921;A000051936;A339S;CNP VITA ASSICURA S.P.A.
3922;A000051936;A463S;ALLIANZ SOCIETA' PER AZIONI
3923;A000051998;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
3924;A000051998;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
3925;A000051998;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
3926;A000052028;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
3927;A000052032;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
3928;A000052032;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
3929;A000052032;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
3930;A000052032;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
3931;A000052060;A044S;GENERALI ITALIA S.P.A.
3932;A000052060;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
3933;A000052060;A390S;EUROP ASSISTANCE ITALIA S.P.A.
3934;A000052078;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
3935;A000052078;D952R;LLOYD'S INSURANCE COMPANY SA
3936;A000052091;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
3937;A000052162;A037S;AXA ASSICURAZIONI S.P.A.
3938;A000052162;C399R;INTER PARTNER ASSISTANCE SA
3939;A000052162;D870R;AXA LIFE EUROPE DAC
3940;A000052167;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
3941;A000052167;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
3942;A000052233;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3943;A000052233;A294S;SARA VITA S.P.A.
3944;A000052239;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3945;A000052239;A294S;SARA VITA S.P.A.
3946;A000052261;A077S;ZURICH INVESTMENTS LIFE S.P.A.
3947;A000052261;D866R;ZURICH INSURANCE EUROPE AG
3948;A000052261;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
3949;A000052261;X497R;ZURICH INSURANCE COMPANY LTD
3950;A000052270;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3951;A000052270;A294S;SARA VITA S.P.A.
3952;A000052296;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
3953;A000052305;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
3954;A000052305;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
3955;A000052305;A416S;COMPAGNIA ASSICURATRICE LINEAR S.P.A.
3956;A000052305;A463S;ALLIANZ SOCIETA' PER AZIONI
3957;A000052305;A484S;TUTELA LEGALE S.P.A.
3958;A000052305;D840R;MAPFRE ASISTENCIA, COMPAÑIA INTERNATIONAL DE SEGUROS Y REASEGUROS, S.A.
3959;A000052313;A044S;GENERALI ITALIA S.P.A.
3960;A000052313;A390S;EUROP ASSISTANCE ITALIA S.P.A.
3961;A000052375;A044S;GENERALI ITALIA S.P.A.
3962;A000052375;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
3963;A000052375;A077S;ZURICH INVESTMENTS LIFE S.P.A.
3964;A000052375;A337S;NOBIS VITA S.P.A.
3965;A000052375;A339S;CNP VITA ASSICURA S.P.A.
3966;A000052375;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
3967;A000052405;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
3968;A000052405;A390S;EUROP ASSISTANCE ITALIA S.P.A.
3969;A000052497;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3970;A000052497;A294S;SARA VITA S.P.A.
3971;A000052524;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
3972;A000052524;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
3973;A000052533;D825R;UNIQA OSTERREICH VERSICHERUNGEN AG
3974;A000052574;A044S;GENERALI ITALIA S.P.A.
3975;A000052574;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
3976;A000052574;A390S;EUROP ASSISTANCE ITALIA S.P.A.
3977;A000052575;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
3978;A000052575;A342S;UNISALUTE S.P.A.
3979;A000052575;A416S;COMPAGNIA ASSICURATRICE LINEAR S.P.A.
3980;A000052575;A505S;UNIPOL ASSICURAZIONI S.P.A.
3981;A000052586;A055X;HDI ASSICURAZIONI S.P.A.
3982;A000052586;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
3983;A000052586;A339S;CNP VITA ASSICURA S.P.A.
3984;A000052586;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
3985;A000052586;A463S;ALLIANZ SOCIETA' PER AZIONI
3986;A000052586;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
3987;A000052586;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
3988;A000052630;A472S;CF ASSICURAZIONI S.P.A. - COMPAGNIA DI ASSICURAZIONE PER IL CREDITO E LA FAMIGLIA
3989;A000052633;A044S;GENERALI ITALIA S.P.A.
3990;A000052633;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
3991;A000052633;A390S;EUROP ASSISTANCE ITALIA S.P.A.
3992;A000052633;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
3993;A000052644;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
3994;A000052644;A294S;SARA VITA S.P.A.
3995;A000052646;D957R;CHUBB EUROPEAN GROUP SE
3996;A000052647;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
3997;A000052673;A044S;GENERALI ITALIA S.P.A.
3998;A000052673;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
3999;A000052673;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4000;A000052678;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4001;A000052678;A294S;SARA VITA S.P.A.
4002;A000052693;A044S;GENERALI ITALIA S.P.A.
4003;A000052714;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4004;A000052714;A294S;SARA VITA S.P.A.
4005;A000052739;A044S;GENERALI ITALIA S.P.A.
4006;A000052742;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
4007;A000052743;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4008;A000052795;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
4009;A000052809;A342S;UNISALUTE S.P.A.
4010;A000052809;A505S;UNIPOL ASSICURAZIONI S.P.A.
4011;A000052813;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4012;A000052813;A463S;ALLIANZ SOCIETA' PER AZIONI
4013;A000052813;A505S;UNIPOL ASSICURAZIONI S.P.A.
4014;A000052813;D878R;ALLIANZ GLOBAL LIFE DAC
4015;A000052813;D891R;AWP P&C S.A.
4016;A000052828;A044S;GENERALI ITALIA S.P.A.
4017;A000052828;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4018;A000052866;A055X;HDI ASSICURAZIONI S.P.A.
4019;A000052866;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4020;A000052866;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4021;A000052866;A339S;CNP VITA ASSICURA S.P.A.
4022;A000052866;A463S;ALLIANZ SOCIETA' PER AZIONI
4023;A000052866;A484S;TUTELA LEGALE S.P.A.
4024;A000052866;A505S;UNIPOL ASSICURAZIONI S.P.A.
4025;A000052896;A044S;GENERALI ITALIA S.P.A.
4026;A000052896;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4027;A000052896;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4028;A000052956;A342S;UNISALUTE S.P.A.
4029;A000052956;A505S;UNIPOL ASSICURAZIONI S.P.A.
4030;A000052961;A037S;AXA ASSICURAZIONI S.P.A.
4031;A000052961;A342S;UNISALUTE S.P.A.
4032;A000052961;A505S;UNIPOL ASSICURAZIONI S.P.A.
4033;A000052961;C399R;INTER PARTNER ASSISTANCE SA
4034;A000052971;A342S;UNISALUTE S.P.A.
4035;A000052971;A505S;UNIPOL ASSICURAZIONI S.P.A.
4036;A000052986;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4037;A000052986;A463S;ALLIANZ SOCIETA' PER AZIONI
4038;A000052986;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
4039;A000052986;D878R;ALLIANZ GLOBAL LIFE DAC
4040;A000052986;D891R;AWP P&C S.A.
4041;A000052986;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
4042;A000052989;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4043;A000052989;A294S;SARA VITA S.P.A.
4044;A000053027;A044S;GENERALI ITALIA S.P.A.
4045;A000053045;A342S;UNISALUTE S.P.A.
4046;A000053045;A505S;UNIPOL ASSICURAZIONI S.P.A.
4047;A000053050;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4048;A000053050;A294S;SARA VITA S.P.A.
4049;A000053101;A463S;ALLIANZ SOCIETA' PER AZIONI
4050;A000053101;D878R;ALLIANZ GLOBAL LIFE DAC
4051;A000053101;D891R;AWP P&C S.A.
4052;A000053138;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
4053;A000053138;A463S;ALLIANZ SOCIETA' PER AZIONI
4054;A000053138;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
4055;A000053138;D878R;ALLIANZ GLOBAL LIFE DAC
4056;A000053138;D891R;AWP P&C S.A.
4057;A000053138;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
4058;A000053142;A044S;GENERALI ITALIA S.P.A.
4059;A000053142;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4060;A000053142;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4061;A000053166;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4062;A000053166;A294S;SARA VITA S.P.A.
4063;A000053222;A463S;ALLIANZ SOCIETA' PER AZIONI
4064;A000053222;A505S;UNIPOL ASSICURAZIONI S.P.A.
4065;A000053222;D878R;ALLIANZ GLOBAL LIFE DAC
4066;A000053222;D891R;AWP P&C S.A.
4067;A000053233;A037S;AXA ASSICURAZIONI S.P.A.
4068;A000053233;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4069;A000053233;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4070;A000053233;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
4071;A000053233;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
4072;A000053263;A077S;ZURICH INVESTMENTS LIFE S.P.A.
4073;A000053263;D866R;ZURICH INSURANCE EUROPE AG
4074;A000053263;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
4075;A000053263;X497R;ZURICH INSURANCE COMPANY LTD
4076;A000053265;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
4077;A000053265;A463S;ALLIANZ SOCIETA' PER AZIONI
4078;A000053265;A505S;UNIPOL ASSICURAZIONI S.P.A.
4079;A000053265;D866R;ZURICH INSURANCE EUROPE AG
4080;A000053265;D878R;ALLIANZ GLOBAL LIFE DAC
4081;A000053265;D891R;AWP P&C S.A.
4082;A000053265;X497R;ZURICH INSURANCE COMPANY LTD
4083;A000053304;A463S;ALLIANZ SOCIETA' PER AZIONI
4084;A000053304;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
4085;A000053304;D878R;ALLIANZ GLOBAL LIFE DAC
4086;A000053304;D891R;AWP P&C S.A.
4087;A000053398;A342S;UNISALUTE S.P.A.
4088;A000053398;A505S;UNIPOL ASSICURAZIONI S.P.A.
4089;A000053415;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4090;A000053416;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4091;A000053445;A463S;ALLIANZ SOCIETA' PER AZIONI
4092;A000053445;D878R;ALLIANZ GLOBAL LIFE DAC
4093;A000053445;D891R;AWP P&C S.A.
4094;A000053449;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4095;A000053470;A342S;UNISALUTE S.P.A.
4096;A000053470;A505S;UNIPOL ASSICURAZIONI S.P.A.
4097;A000053491;A342S;UNISALUTE S.P.A.
4098;A000053491;A505S;UNIPOL ASSICURAZIONI S.P.A.
4099;A000053521;A342S;UNISALUTE S.P.A.
4100;A000053521;A505S;UNIPOL ASSICURAZIONI S.P.A.
4101;A000053538;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4102;A000053538;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4103;A000053538;A463S;ALLIANZ SOCIETA' PER AZIONI
4104;A000053538;D969R;ADRIATIC OSIGURANJE D.D.
4105;A000053553;A044S;GENERALI ITALIA S.P.A.
4106;A000053553;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4107;A000053567;A342S;UNISALUTE S.P.A.
4108;A000053567;A505S;UNIPOL ASSICURAZIONI S.P.A.
4109;A000053574;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4110;A000053588;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
4111;A000053588;A183S;ITAS VITA S.P.A.
4112;A000053605;A342S;UNISALUTE S.P.A.
4113;A000053605;A505S;UNIPOL ASSICURAZIONI S.P.A.
4114;A000053609;A342S;UNISALUTE S.P.A.
4115;A000053609;A505S;UNIPOL ASSICURAZIONI S.P.A.
4116;A000053611;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4117;A000053611;A339S;CNP VITA ASSICURA S.P.A.
4118;A000053611;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4119;A000053611;A463S;ALLIANZ SOCIETA' PER AZIONI
4120;A000053652;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4121;A000053669;A463S;ALLIANZ SOCIETA' PER AZIONI
4122;A000053669;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
4123;A000053669;D878R;ALLIANZ GLOBAL LIFE DAC
4124;A000053669;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
4125;A000053675;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4126;A000053675;A294S;SARA VITA S.P.A.
4127;A000053685;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4128;A000053685;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4129;A000053688;A463S;ALLIANZ SOCIETA' PER AZIONI
4130;A000053688;D878R;ALLIANZ GLOBAL LIFE DAC
4131;A000053688;D891R;AWP P&C S.A.
4132;A000053696;A341S;ARCA VITA S.P.A.
4133;A000053696;A417S;ARCA ASSICURAZIONI S.P.A.
4134;A000053726;A135S;VITTORIA ASSICURAZIONI S.P.A.
4135;A000053726;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4136;A000053744;A135S;VITTORIA ASSICURAZIONI S.P.A.
4137;A000053745;A135S;VITTORIA ASSICURAZIONI S.P.A.
4138;A000053755;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
4139;A000053755;A152M;VHV ITALIA ASSICURAZIONI S.P.A.
4140;A000053755;A183S;ITAS VITA S.P.A.
4141;A000053794;A055X;HDI ASSICURAZIONI S.P.A.
4142;A000053795;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
4143;A000053795;A463S;ALLIANZ SOCIETA' PER AZIONI
4144;A000053795;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
4145;A000053802;A044S;GENERALI ITALIA S.P.A.
4146;A000053802;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4147;A000053813;A055X;HDI ASSICURAZIONI S.P.A.
4148;A000053813;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4149;A000053818;A077S;ZURICH INVESTMENTS LIFE S.P.A.
4150;A000053818;D866R;ZURICH INSURANCE EUROPE AG
4151;A000053818;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
4152;A000053818;X497R;ZURICH INSURANCE COMPANY LTD
4153;A000053835;A135S;VITTORIA ASSICURAZIONI S.P.A.
4154;A000053835;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4155;A000053844;A044S;GENERALI ITALIA S.P.A.
4156;A000053844;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4157;A000053844;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4158;A000053866;A077S;ZURICH INVESTMENTS LIFE S.P.A.
4159;A000053866;D866R;ZURICH INSURANCE EUROPE AG
4160;A000053866;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
4161;A000053866;X497R;ZURICH INSURANCE COMPANY LTD
4162;A000053876;A044S;GENERALI ITALIA S.P.A.
4163;A000053876;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4164;A000053881;A055X;HDI ASSICURAZIONI S.P.A.
4165;A000053897;A044S;GENERALI ITALIA S.P.A.
4166;A000053897;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4167;A000053905;A055X;HDI ASSICURAZIONI S.P.A.
4168;A000053905;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
4169;A000053907;A055X;HDI ASSICURAZIONI S.P.A.
4170;A000053907;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
4171;A000053912;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
4172;A000053912;A463S;ALLIANZ SOCIETA' PER AZIONI
4173;A000053912;A505S;UNIPOL ASSICURAZIONI S.P.A.
4174;A000053912;D878R;ALLIANZ GLOBAL LIFE DAC
4175;A000053912;D891R;AWP P&C S.A.
4176;A000053951;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4177;A000053993;A044S;GENERALI ITALIA S.P.A.
4178;A000053993;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4179;A000054027;A044S;GENERALI ITALIA S.P.A.
4180;A000054027;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4181;A000054035;A044S;GENERALI ITALIA S.P.A.
4182;A000054035;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4183;A000054035;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4184;A000054047;A337S;NOBIS VITA S.P.A.
4185;A000054047;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4186;A000054073;A055X;HDI ASSICURAZIONI S.P.A.
4187;A000054073;A213S;ATHORA ITALIA S.P.A.
4188;A000054073;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4189;A000054077;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4190;A000054086;A135S;VITTORIA ASSICURAZIONI S.P.A.
4191;A000054086;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4192;A000054163;A342S;UNISALUTE S.P.A.
4193;A000054163;A505S;UNIPOL ASSICURAZIONI S.P.A.
4194;A000054193;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
4195;A000054212;A337S;NOBIS VITA S.P.A.
4196;A000054212;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4197;A000054222;A342S;UNISALUTE S.P.A.
4198;A000054222;A505S;UNIPOL ASSICURAZIONI S.P.A.
4199;A000054284;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
4200;A000054284;A294S;SARA VITA S.P.A.
4201;A000054288;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4202;A000054311;A044S;GENERALI ITALIA S.P.A.
4203;A000054311;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4204;A000054311;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4205;A000054314;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
4206;A000054358;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4207;A000054358;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4208;A000054445;A077S;ZURICH INVESTMENTS LIFE S.P.A.
4209;A000054445;D866R;ZURICH INSURANCE EUROPE AG
4210;A000054445;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
4211;A000054445;X497R;ZURICH INSURANCE COMPANY LTD
4212;A000054477;A044S;GENERALI ITALIA S.P.A.
4213;A000054477;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4214;A000054477;A390S;EUROP ASSISTANCE ITALIA S.P.A.
4215;A000054491;A342S;UNISALUTE S.P.A.
4216;A000054491;A505S;UNIPOL ASSICURAZIONI S.P.A.
4217;A000054571;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4218;A000054571;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
4219;A000054571;A505S;UNIPOL ASSICURAZIONI S.P.A.
4220;A000054571;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
4221;A000054584;A342S;UNISALUTE S.P.A.
4222;A000054584;A505S;UNIPOL ASSICURAZIONI S.P.A.
4223;A000054649;A342S;UNISALUTE S.P.A.
4224;A000054649;A505S;UNIPOL ASSICURAZIONI S.P.A.
4225;A000054796;A342S;UNISALUTE S.P.A.
4226;A000054796;A505S;UNIPOL ASSICURAZIONI S.P.A.
4227;A000054798;A342S;UNISALUTE S.P.A.
4228;A000054798;A505S;UNIPOL ASSICURAZIONI S.P.A.
4229;A000054799;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
4230;A000054799;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
4231;A000054802;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
4232;A000054802;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4233;A000054802;A342S;UNISALUTE S.P.A.
4234;A000054802;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
4235;A000054802;A505S;UNIPOL ASSICURAZIONI S.P.A.
4236;A000054802;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
4237;A000054827;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
4238;A000054827;A342S;UNISALUTE S.P.A.
4239;A000054827;A505S;UNIPOL ASSICURAZIONI S.P.A.
4240;A000054864;A342S;UNISALUTE S.P.A.
4241;A000054864;A505S;UNIPOL ASSICURAZIONI S.P.A.
4242;A000054872;A135S;VITTORIA ASSICURAZIONI S.P.A.
4243;A000054872;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
4244;A000054907;A055X;HDI ASSICURAZIONI S.P.A.
4245;A000054918;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
4246;A000054919;A463S;ALLIANZ SOCIETA' PER AZIONI
