Nr.;Nr. ordine;Nr. cliente;Ragione Sociale;Cod. valuta;Data scadenza;Importo;Importo IVA inclusa;Importo residuo;Spedire a - Codice;Spedire a - CAP;Data di registrazione;Cod. agente;Cdc Codice;Cod. colleg. dimen. 2;Cod. ubicazione;Copie stampate;Cod. condizioni pagam.;Chiuso;Annullato;Rettifica;E-mail inviata;Data/ora invio mail;Fatturare a - Indirizzo;Fatturare a - Città;Provincia di fatturazione;Spedire a - Indirizzo;Spedire a - Città;Cod. metodo di pagamento;Cat. reg. cliente;Fattore valuta;Partita IVA;C/C bancario;Importo residuo documento;Tipo di documento Fattura;Nota di Credito Collegata;Flg In Commessa;Nr. fornitore;Descrizione Fornitore;Fattura Acquisto Origine;Inviato allo SDI
FVI25-00137;;C00020;COMPASS Banca S.p.A.;;;1.251,95;1.251,95;0,00;;20153;05/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Caldera, 21;MILANO;MI;Via Caldera, 21;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00135;;C00035;Mediobanca  Premier Spa;;;4.826,56;4.826,56;0,00;;20100;05/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00133;;C00027;Fucino Finance S.P.A.;;;5.169,20;5.169,20;0,00;;00186;05/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Tomacelli, 107;ROMA;RM;Via Tomacelli, 107;ROMA;;CLI_IT;0,;01861900189;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00132;;C00035;Mediobanca  Premier Spa;;;4.826,56;4.826,56;0,00;;20100;05/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Viale Bodio 37 palazzo 4;MILANO;MI;Viale Bodio 37 palazzo 4;MILANO;;CLI_IT;0,;10536040966;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00131;;C00068;MARCHE ANNA MARIA;;;1.500,00;1.500,00;0,00;;00100;04/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA CORMONS 7;ROMA;RM;VIA CORMONS 7;ROMA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00130;;C00067;GUGLIELMI DEBORAH;;;2.400,00;2.400,00;0,00;;76123;04/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;VIA BRUNO BOZZI 93 ;ANDRIA;BT;VIA BRUNO BOZZI 93 ;ANDRIA;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00129;;C00066;FUMAGALLI STEFANIA;;;700,00;700,00;0,00;;20060;04/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; VIA ANTONIO GRAMSCI 20;TRUCAZZANO;MI; VIA ANTONIO GRAMSCI 20;TRUCAZZANO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00128;;C00065;CAVENATI CRISTINA;;;4.500,00;4.500,00;0,00;;21015;04/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;PIAZZA S'ANTAMBROGIO 6;LONATE POZZOLO;VA;PIAZZA S'ANTAMBROGIO 6;LONATE POZZOLO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00127;;C00018;BNT BANCA S.p.A.;;;1.699,20;1.699,20;0,00;;23100;03/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Piazza Garibaldi, 16;SONDRIO;SO;Piazza Garibaldi, 16;SONDRIO;;CLI_IT;0,;01086930144;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00126;;C00004;Banca di Sconto S.p.A.;;;2.700,72;2.700,72;0,00;;00187;03/06/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Venti Settembre, 30;ROMA;RM;Via Venti Settembre, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00125;;C00001;IBL Banca S.P.A.;;;5.989,08;5.989,08;0,00;;00187;03/06/2025;;;;;0;0GDF;VERO;FALSO;FALSO;FALSO;;VIA XX SETTEMBRE, 30;ROMA;RM;VIA XX SETTEMBRE, 30;ROMA;BO;CLI_IT;0,;14994571009;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00124;;C00064;GARGARONE CHIARA;;;850,00;850,00;850,00;;23871;29/05/2025;;;;;0;VISTA;FALSO;FALSO;FALSO;FALSO;; VIA GALILEO GALILEI 7;LOMAGNA;LC; VIA GALILEO GALILEI 7;LOMAGNA;;CLI_IT;0,;;;850,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00123;;C00063;RUSSO AGATINO;;;1.737,00;1.737,00;0,00;;24040;29/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;;Via Aldo Moro nr.52;LALLIO;BG;Via Aldo Moro nr.52;LALLIO;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
FVI25-00122;;C00062;BILGLIENI MATTIA;;;1.096,00;1.096,00;0,00;;24044;29/05/2025;;;;;0;VISTA;VERO;FALSO;FALSO;FALSO;; VIA DOMENICO CIMAROSA 4;DALMINE;BG; VIA DOMENICO CIMAROSA 4;DALMINE;;CLI_IT;0,;;;0,00;TD01;FALSO;FALSO;;;;FALSO
